the_geom,borocode,boroname,borocd,coundist,assemdist,stsendist,congdist,location,borough,date_insta,point_x,point_y,femafldz,femafldt,ntaname,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,hrcevac,:@computed_region_efsh_h5xi
"{'type': 'Point', 'coordinates': [-73.94026257034281, 40.75095873375866]}",4,Queens,402,26,36,59,7,Queens Plaza and Crescent Street,Queens,2025-11-01T00:00:00.000,-73.940264,40.750967,X,AREA OF MINIMAL FLOOD HAZARD,Queensbridge-Ravenswood-Dutch Kills,53,3,33,66,5,16858
"{'type': 'Point', 'coordinates': [-74.15253051315736, 40.58062577480461]}",5,Staten Island,502,51,63,24,11,Richmond Hill Road and Forest Hill Road,Staten Island,2023-05-11T00:00:00.000,-74.152532,40.580634,X,AREA OF MINIMAL FLOOD HAZARD,New Springville-Willowbrook-Bulls Head-Travis,30,1,14,75,,10700
"{'type': 'Point', 'coordinates': [-73.98444755741042, 40.72877173928791]}",1,Manhattan,103,2,66,27,10,1  Avenue and East  10 Street,Manhattan,2025-09-29T00:00:00.000,-73.984449,40.72878,X,AREA OF MINIMAL FLOOD HAZARD,East Village,70,4,50,5,6,11724
"{'type': 'Point', 'coordinates': [-73.85036959443886, 40.82904471539409]}",2,Bronx,209,18,87,34,14,Castle Hill Avenue and Blackrock Avenue,Bronx,2025-05-29T00:00:00.000,-73.850371,40.829053,X,AREA OF MINIMAL FLOOD HAZARD,Castle Hill-Unionport,58,5,31,26,5,11610
"{'type': 'Point', 'coordinates': [-73.84475059550576, 40.8320267142778]}",2,Bronx,209,18,87,34,14,Zerega Avenue and Powell Avenue,Bronx,2023-10-20T00:00:00.000,-73.844752,40.832035,X,AREA OF MINIMAL FLOOD HAZARD,Westchester Square,58,5,31,26,5,11271
"{'type': 'Point', 'coordinates': [-73.79034062313653, 40.67602974294625]}",4,Queens,412,28,32,10,5,Sutphin Boulevard and 123 Avenue,Queens,2024-03-04T00:00:00.000,-73.790342,40.676038,X,AREA OF MINIMAL FLOOD HAZARD,Baisley Park,41,3,46,71,5,24669
"{'type': 'Point', 'coordinates': [-74.06712953870537, 40.60698076660515]}",5,Staten Island,501,49,64,23,11,Tompkins Avenue and Fingerboard Road,Staten Island,2023-11-21T00:00:00.000,-74.067131,40.606989,X,AREA OF MINIMAL FLOOD HAZARD,Rosebank-Shore Acres-Park Hill,4,1,13,74,,10692
"{'type': 'Point', 'coordinates': [-73.93324157857784, 40.641882755349464]}",3,Brooklyn,317,45,58,21,9,Avenue D and East  46 Street,Brooklyn,2025-01-03T00:00:00.000,-73.933243,40.641891,X,AREA OF MINIMAL FLOOD HAZARD,East Flatbush-Farragut,61,2,26,40,5,16866
"{'type': 'Point', 'coordinates': [-73.88382557998578, 40.88046470672888]}",2,Bronx,207,11,80,33,15,Jerome Avenue and Mosholu Parkway North S/R,Bronx,2025-01-24T00:00:00.000,-73.883827,40.880473,X,AREA OF MINIMAL FLOOD HAZARD,Norwood,24,5,40,34,,11605
"{'type': 'Point', 'coordinates': [-73.9467665631812, 40.83146271853027]}",1,Manhattan,109,7,71,30,13,Broadway and West 153 Street,Manhattan,2019-07-26T00:00:00.000,-73.946768,40.831471,X,AREA OF MINIMAL FLOOD HAZARD,Hamilton Heights-Sugar Hill,37,4,23,19,,12428
"{'type': 'Point', 'coordinates': [-73.93622456739796, 40.814662721636644]}",1,Manhattan,110,9,70,30,13,5 Avenue and West 138 Street,Manhattan,2026-01-23T00:00:00.000,-73.936226,40.814671,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Harlem (North),18,4,36,20,4,13095
"{'type': 'Point', 'coordinates': [-73.94238157238266, 40.7023467438006]}",3,Brooklyn,301,34,53,18,7,Graham Avenue and Cook Street,Brooklyn,2025-11-25T00:00:00.000,-73.942383,40.702355,X,AREA OF MINIMAL FLOOD HAZARD,East Williamsburg,36,2,30,56,5,17213
"{'type': 'Point', 'coordinates': [-74.07215753726231, 40.598910768118984]}",5,Staten Island,502,50,64,23,11,Hylan Boulevard and West Fingerboard Road,Staten Island,2021-05-19T00:00:00.000,-74.072159,40.598919,X,AREA OF MINIMAL FLOOD HAZARD,Grasmere-Arrochar-South Beach-Dongan Hills,30,1,14,76,,10692
"{'type': 'Point', 'coordinates': [-73.92333657581739, 40.743691734231795]}",4,Queens,402,26,37,12,7,Queens Boulevard and  41 Street,Queens,2019-05-11T00:00:00.000,-73.923338,40.7437,X,AREA OF MINIMAL FLOOD HAZARD,Sunnyside,53,3,33,66,,16861
"{'type': 'Point', 'coordinates': [-73.9857375594464, 40.689622747725366]}",3,Brooklyn,302,33,52,26,10,Livingston Street and Hoyt Street,Brooklyn,2013-05-18T00:00:00.000,-73.985739,40.689631,X,AREA OF MINIMAL FLOOD HAZARD,Downtown Brooklyn-DUMBO-Boerum Hill,68,2,38,54,,16865
"{'type': 'Point', 'coordinates': [-73.97620956915387, 40.57981876824934]}",3,Brooklyn,313,48,46,23,8,Neptune Avenue with Shell Road and West 8 Street,Brooklyn,2022-01-19T00:00:00.000,-73.976211,40.579827,AE,,Coney Island-Sea Gate,21,2,15,35,1,18184
"{'type': 'Point', 'coordinates': [-74.03595754620429, 40.63881275920968]}",3,Brooklyn,310,47,64,26,11,Shore Road and Bay Ridge Avenue,Brooklyn,2024-09-17T00:00:00.000,-74.035959,40.638821,X,AREA OF MINIMAL FLOOD HAZARD,Bay Ridge,10,2,44,41,4,17216
"{'type': 'Point', 'coordinates': [-73.81330860821096, 40.787486722318114]}",4,Queens,407,19,27,11,3,Cross Island Parkway W/B and 150 Street,Queens,2025-11-04T00:00:00.000,-73.81331,40.787495,X,AREA OF MINIMAL FLOOD HAZARD,Whitestone-Beechhurst,22,3,20,67,,14192
"{'type': 'Point', 'coordinates': [-73.82084428790074, 40.86775265256664]}",2,Bronx,210,12,82,36,16,Hutchinson River Parkway N/B Exit with Bartow Avenue and Hutchinson River Parkway East,Bronx,2024-05-15T00:00:00.000,-73.8208456866,40.8677609456,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Co-op City,43,5,2,28,4,12344
"{'type': 'Point', 'coordinates': [-73.83066396900396, 40.752058211407146]}",4,Queens,407,20,25,16,6,Blossom Avenue and Crommelin Street,Queens,2026-06-29T00:00:00.000,-73.8306653637,40.7520664816,X,AREA OF MINIMAL FLOOD HAZARD,Flushing-Willets Point,22,3,3,67,5,14190
"{'type': 'Point', 'coordinates': [-73.76098562741159, 40.76157672568524]}",4,Queens,411,19,26,16,6,Northern Boulevard and 220 Place,Queens,2021-12-20T00:00:00.000,-73.760987,40.761585,X,AREA OF MINIMAL FLOOD HAZARD,Bayside,26,3,20,69,,14196
"{'type': 'Point', 'coordinates': [-73.89491957776757, 40.86534070978431]}",2,Bronx,207,15,78,33,13,Grand Concourse and East 193 Street,Bronx,2022-05-16T00:00:00.000,-73.894921,40.865349,X,AREA OF MINIMAL FLOOD HAZARD,University Heights (North)-Fordham,24,5,22,34,,10936
"{'type': 'Point', 'coordinates': [-73.88957058686351, 40.747029733175225]}",4,Queens,404,25,39,13,6,Roosevelt Avenue and  76 Street,Queens,2025-09-04T00:00:00.000,-73.889572,40.747038,X,AREA OF MINIMAL FLOOD HAZARD,Elmhurst,66,3,5,68,,14784
"{'type': 'Point', 'coordinates': [-73.98394555765583, 40.733713738601715]}",1,Manhattan,106,2,74,59,12,2 Avenue and East  16 Street,Manhattan,2016-11-09T00:00:00.000,-73.983947,40.733722,X,AREA OF MINIMAL FLOOD HAZARD,Gramercy,71,4,50,7,6,11724
"{'type': 'Point', 'coordinates': [-73.98105456398042, 40.64574475553793]}",3,Brooklyn,312,39,44,17,9,Dahill Road and  12 Avenue,Brooklyn,2021-05-21T00:00:00.000,-73.981056,40.645753,X,AREA OF MINIMAL FLOOD HAZARD,Kensington,2,2,27,39,,17620
"{'type': 'Point', 'coordinates': [-73.98197855875299, 40.71343274262314]}",1,Manhattan,103,1,65,27,10,Madison Street and 300' west of Jackson Street,Manhattan,2017-09-12T00:00:00.000,-73.98198,40.713441,X,AREA OF MINIMAL FLOOD HAZARD,Lower East Side,70,4,50,4,,11723
"{'type': 'Point', 'coordinates': [-73.9788695568925, 40.767856732290085]}",1,Manhattan,164,6,75,28,12,Central Park Post No. 38 South Drive and West of 7th Avenue and 59th Street Access,Manhattan,2024-03-26T00:00:00.000,-73.978871,40.767865,X,AREA OF MINIMAL FLOOD HAZARD,Central Park,19,4,19,13,,
"{'type': 'Point', 'coordinates': [-73.97773755732167, 40.761208733185704]}",1,Manhattan,105,4,75,28,12,West  53 Street between 5 Avenue and 6 Avenue,Manhattan,2016-10-03T00:00:00.000,-73.977739,40.761217,X,AREA OF MINIMAL FLOOD HAZARD,Midtown-Times Square,11,4,51,10,,10093
"{'type': 'Point', 'coordinates': [-74.22486249184249, 40.53237378643155]}",5,Staten Island,503,51,62,24,11,Veterans Road West and Englewood Avenue,Staten Island,2022-07-30T00:00:00.000,-74.224864,40.532382,X,AREA OF MINIMAL FLOOD HAZARD,Tottenville-Charleston,15,1,9,77,,10696
"{'type': 'Point', 'coordinates': [-74.09748652858619, 40.61025276685842]}",5,Staten Island,502,50,64,24,11,Clove Road with Emerson Drive and Milford Drive,Staten Island,2023-11-14T00:00:00.000,-74.097488,40.610261,X,AREA OF MINIMAL FLOOD HAZARD,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,30,1,14,76,,10691
"{'type': 'Point', 'coordinates': [-73.97409156662938, 40.63594875714067]}",3,Brooklyn,312,40,44,21,9,Ditmas Avenue and East   5 Street,Brooklyn,2012-12-12T00:00:00.000,-73.974093,40.635957,X,AREA OF MINIMAL FLOOD HAZARD,Kensington,2,2,27,39,,17620
"{'type': 'Point', 'coordinates': [-74.10535045872474, 40.61561309089457]}",5,Staten Island,501,49,63,24,11,Victory Boulevard and Ontario Avenue,Staten Island,2025-11-18T00:00:00.000,-74.1053519331,40.6156213247,X,AREA OF MINIMAL FLOOD HAZARD,Westerleigh-Castleton Corners,4,1,13,74,,10369
"{'type': 'Point', 'coordinates': [-73.82758960589715, 40.75729472822304]}",4,Queens,407,20,40,16,6,Kissena Boulevard and Barclay Avenue,Queens,2023-03-20T00:00:00.000,-73.827591,40.757303,X,AREA OF MINIMAL FLOOD HAZARD,Flushing-Willets Point,22,3,3,67,,14190
"{'type': 'Point', 'coordinates': [-73.99993555527844, 40.67396275137323]}",3,Brooklyn,306,38,51,26,10,Hamilton Avenue with Court Street and Centre Street,Brooklyn,2025-11-13T00:00:00.000,-73.999937,40.673971,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,14,2,27,48,1,13514
"{'type': 'Point', 'coordinates': [-73.95139756581625, 40.77006473011881]}",1,Manhattan,108,5,76,28,12,York Avenue and East  77 Street,Manhattan,2022-11-01T00:00:00.000,-73.951399,40.770073,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Lenox Hill-Roosevelt Island,23,4,1,11,5,10092
"{'type': 'Point', 'coordinates': [-74.01324854955688, 40.70455474546835]}",1,Manhattan,101,1,61,27,10,Broadway  and Bowling Green,Manhattan,2013-09-13T00:00:00.000,-74.01325,40.704563,X,AREA OF MINIMAL FLOOD HAZARD,Financial District-Battery Park City,56,4,32,1,1,11725
"{'type': 'Point', 'coordinates': [-73.84787060485507, 40.670773746644706]}",4,Queens,410,32,23,15,5,North Conduit Avenue and  88 Street,Queens,2023-04-21T00:00:00.000,-73.847872,40.670782,X,AREA OF MINIMAL FLOOD HAZARD,Howard Beach-Lindenwood,62,3,41,64,3,15314
"{'type': 'Point', 'coordinates': [-73.96753056071017, 40.77176673077544]}",1,Manhattan,108,4,73,28,12,5 Avenue and East  71 Street,Manhattan,2026-01-15T00:00:00.000,-73.967532,40.771775,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Carnegie Hill,23,4,51,11,,12083
"{'type': 'Point', 'coordinates': [-73.91544357300289, 40.843358715231524]}",2,Bronx,204,16,77,32,15,Jerome Avenue and Goble Place,Bronx,2021-04-24T00:00:00.000,-73.915445,40.843367,X,AREA OF MINIMAL FLOOD HAZARD,Mount Eden-Claremont (West),50,5,29,27,,10930
"{'type': 'Point', 'coordinates': [-73.88684058202487, 40.84328971417414]}",2,Bronx,206,15,79,32,15,East Tremont Avenue and Marmion Avenue,Bronx,2025-01-15T00:00:00.000,-73.886842,40.843298,X,AREA OF MINIMAL FLOOD HAZARD,Tremont,35,5,43,31,,11269
"{'type': 'Point', 'coordinates': [-73.83473548385282, 40.75965292722071]}",4,Queens,407,20,40,16,6,College Point Boulevard between 37 Avenue and 39 Avenue,Queens,2024-02-26T00:00:00.000,-73.8347368797,40.7596611995,X,AREA OF MINIMAL FLOOD HAZARD,Flushing-Willets Point,22,3,3,67,2,13832
"{'type': 'Point', 'coordinates': [-73.95160556889374, 40.715077740879074]}",3,Brooklyn,301,34,50,18,7,Meeker Avenue and Union Avenue,Brooklyn,2024-11-04T00:00:00.000,-73.951607,40.715086,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,East Williamsburg,36,2,30,57,3,17613
"{'type': 'Point', 'coordinates': [-73.91369757775351, 40.765472730214874]}",4,Queens,401,22,36,12,14,Steinway Street and  28 Avenue,Queens,2025-03-14T00:00:00.000,-73.913699,40.765481,X,AREA OF MINIMAL FLOOD HAZARD,Astoria (East)-Woodside (North),39,3,4,72,,16860
"{'type': 'Point', 'coordinates': [-74.00521055080634, 40.72054374249679]}",1,Manhattan,101,1,66,27,10,6 Avenue with West Broadway and Lispenard Street,Manhattan,2023-04-11T00:00:00.000,-74.005212,40.720552,AE,,Tribeca-Civic Center,56,4,32,1,2,12076
"{'type': 'Point', 'coordinates': [-74.20309049973801, 40.53247478617183]}",5,Staten Island,503,51,62,24,11,Foster Road and Drumgoole Road West,Staten Island,2025-10-22T00:00:00.000,-74.203092,40.532483,X,AREA OF MINIMAL FLOOD HAZARD,Annadale-Huguenot-Prince's Bay-Woodrow,15,1,9,77,,10696
"{'type': 'Point', 'coordinates': [-73.83345759820756, 40.863596708250654]}",2,Bronx,211,13,80,36,14,East Gun Hill Road and 600' West of Edson Avenue,Bronx,2025-05-07T00:00:00.000,-73.833459,40.863605,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Pelham Gardens,59,5,12,32,4,11607
"{'type': 'Point', 'coordinates': [-73.94541657655151, 40.62448775866742]}",3,Brooklyn,318,45,42,21,9,Avenue K and East  31 Street,Brooklyn,2022-10-24T00:00:00.000,-73.945418,40.624496,X,AREA OF MINIMAL FLOOD HAZARD,Flatlands,5,2,26,38,5,17217
"{'type': 'Point', 'coordinates': [-73.98620055455802, 40.76723373238037]}",1,Manhattan,104,6,75,47,12,9 Avenue and West  56 Street,Manhattan,2024-04-04T00:00:00.000,-73.986202,40.767242,X,AREA OF MINIMAL FLOOD HAZARD,Hell's Kitchen,12,4,10,10,,12081
"{'type': 'Point', 'coordinates': [-73.98939955350058, 40.76285073282716]}",1,Manhattan,104,3,75,47,12,9 Avenue and West  49 Street,Manhattan,2024-09-05T00:00:00.000,-73.989401,40.762859,X,AREA OF MINIMAL FLOOD HAZARD,Hell's Kitchen,12,4,10,10,,12081
"{'type': 'Point', 'coordinates': [-73.91461857265575, 40.83905571539244]}",2,Bronx,204,16,84,32,15,East 170 Street and 150' West of Grand Concourse,Bronx,2019-04-29T00:00:00.000,-73.91462,40.839064,X,AREA OF MINIMAL FLOOD HAZARD,Mount Eden-Claremont (West),50,5,29,27,,10930
"{'type': 'Point', 'coordinates': [-73.81757318615512, 40.77526151140463]}",4,Queens,407,19,40,16,3,149 Street and 25 Drive,Queens,2025-06-02T00:00:00.000,-73.8175745781,40.7752697866,X,AREA OF MINIMAL FLOOD HAZARD,Murray Hill-Broadway Flushing,22,3,20,67,,13832
"{'type': 'Point', 'coordinates': [-73.90958558286174, 40.71289874009428]}",4,Queens,405,30,37,12,7,Metropolitan Avenue and Amory Court,Queens,2023-07-29T00:00:00.000,-73.909587,40.712907,X,AREA OF MINIMAL FLOOD HAZARD,Ridgewood,54,3,34,62,,15310
"{'type': 'Point', 'coordinates': [-74.00132755513059, 40.68467174851047]}",3,Brooklyn,306,39,51,26,10,Hicks Street S/B and Sackett Street,Brooklyn,2024-06-28T00:00:00.000,-74.001329,40.68468,X,AREA OF MINIMAL FLOOD HAZARD,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,14,2,27,48,4,13514
"{'type': 'Point', 'coordinates': [-73.98130955763864, 40.74134173693393]}",1,Manhattan,106,2,74,59,12,3 Avenue and East  27 Street,Manhattan,2024-05-21T00:00:00.000,-73.981311,40.74135,X,AREA OF MINIMAL FLOOD HAZARD,Murray Hill-Kips Bay,71,4,50,7,,12078
"{'type': 'Point', 'coordinates': [-73.96582056500264, 40.70318874432138]}",3,Brooklyn,301,33,52,18,7,Kent Avenue and Wilson Street,Brooklyn,2021-06-18T00:00:00.000,-73.965822,40.703197,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,South Williamsburg,36,2,38,56,2,17613
"{'type': 'Point', 'coordinates': [-73.93269957517698, 40.703162743358575]}",3,Brooklyn,301,34,53,18,7,Flushing Avenue and Bogart Street,Brooklyn,2016-12-06T00:00:00.000,-73.932701,40.703171,X,AREA OF MINIMAL FLOOD HAZARD,Bushwick (West),42,2,30,53,,17213
"{'type': 'Point', 'coordinates': [-73.83190259669935, 40.87971970473673]}",2,Bronx,210,12,82,36,16,Baychester Avenue and Co-op City Boulevard,Bronx,2023-09-13T00:00:00.000,-73.831904,40.879728,X,AREA OF MINIMAL FLOOD HAZARD,Co-op City,43,5,2,28,5,12344
"{'type': 'Point', 'coordinates': [-73.90783757699747, 40.80819872123392]}",2,Bronx,201,8,84,29,14,Southern Boulevard and Saint Marys Street,Bronx,2022-09-17T00:00:00.000,-73.907839,40.808207,X,AREA OF MINIMAL FLOOD HAZARD,Mott Haven-Port Morris,49,5,35,23,5,10932
"{'type': 'Point', 'coordinates': [-73.99441355629592, 40.68544674860811]}",3,Brooklyn,306,39,52,26,10,Court Street and Kane Street,Brooklyn,2023-09-06T00:00:00.000,-73.994415,40.685455,X,AREA OF MINIMAL FLOOD HAZARD,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,14,2,27,48,,13514
"{'type': 'Point', 'coordinates': [-74.16033150946085, 40.58478777391741]}",5,Staten Island,502,51,63,24,11,Richmond Hill Road and Marsh Avenue,Staten Island,2025-10-02T00:00:00.000,-74.160333,40.584796,X,AREA OF MINIMAL FLOOD HAZARD,New Springville-Willowbrook-Bulls Head-Travis,30,1,9,75,,10700
"{'type': 'Point', 'coordinates': [-74.0337415480985, 40.624089761664194]}",3,Brooklyn,310,47,46,26,11,86 Street and Ridge Boulevard,Brooklyn,2023-03-02T00:00:00.000,-74.033743,40.624098,X,AREA OF MINIMAL FLOOD HAZARD,Bay Ridge,10,2,44,41,,17216
"{'type': 'Point', 'coordinates': [-73.93261057029912, 40.799817724024976]}",1,Manhattan,111,8,68,29,13,1  Avenue and East 122 Street,Manhattan,2016-11-25T00:00:00.000,-73.932612,40.799826,AE,,East Harlem (North),7,4,35,16,3,13093
"{'type': 'Point', 'coordinates': [-73.9504155725278, 40.658684752264605]}",3,Brooklyn,309,40,43,20,9,Nostrand Avenue and Fenimore Street,Brooklyn,2025-02-26T00:00:00.000,-73.950417,40.658693,X,AREA OF MINIMAL FLOOD HAZARD,Prospect Lefferts Gardens-Wingate,17,2,11,44,,13509
"{'type': 'Point', 'coordinates': [-73.99144555693368, 40.69158874750574]}",3,Brooklyn,302,33,52,26,10,Court Street and Livingston Street,Brooklyn,2012-06-16T00:00:00.000,-73.991447,40.691597,X,AREA OF MINIMAL FLOOD HAZARD,Brooklyn Heights,68,2,38,54,,16865
"{'type': 'Point', 'coordinates': [-73.94508457052954, 40.71881274032477]}",3,Brooklyn,301,34,50,18,7,Graham Avenue with Richardson Street and Herbert Street,Brooklyn,2022-06-17T00:00:00.000,-73.945086,40.718821,X,AREA OF MINIMAL FLOOD HAZARD,East Williamsburg,36,2,30,57,5,18182
"{'type': 'Point', 'coordinates': [-74.21698649603854, 40.52163878818744]}",5,Staten Island,503,51,62,24,11,Amboy Road and Amboy Plaza Shopping Center Entrance and Exit,Staten Island,2023-05-11T00:00:00.000,-74.216988,40.521647,X,AREA OF MINIMAL FLOOD HAZARD,Annadale-Huguenot-Prince's Bay-Woodrow,15,1,9,77,6,10696
"{'type': 'Point', 'coordinates': [-73.87595558304355, 40.87985770654003]}",2,Bronx,207,11,81,33,15,East Gun Hill Road and Kings College Place,Bronx,2019-06-25T00:00:00.000,-73.875957,40.879866,X,AREA OF MINIMAL FLOOD HAZARD,Norwood,24,5,40,34,,11605
"{'type': 'Point', 'coordinates': [-73.88581358244723, 40.84192271453803]}",2,Bronx,206,15,87,32,15,"Southern Boulevard, Crotona Parkway, and Elsmere Place",Bronx,2024-11-19T00:00:00.000,-73.885815,40.841931,X,AREA OF MINIMAL FLOOD HAZARD,West Farms,35,5,43,31,,11269
"{'type': 'Point', 'coordinates': [-73.91436258658287, 40.620734758868544]}",3,Brooklyn,318,46,59,21,8,Avenue N and East  66 Street,Brooklyn,2022-08-09T00:00:00.000,-73.914364,40.620743,X,AREA OF MINIMAL FLOOD HAZARD,Marine Park-Mill Basin-Bergen Beach,5,2,8,38,3,13825
"{'type': 'Point', 'coordinates': [-73.83130059664394, 40.88470270414828]}",2,Bronx,212,12,83,36,16,"Boston Road, Dyre Avenue, and Steenwick Avenue",Bronx,2021-03-19T00:00:00.000,-73.831302,40.884711,X,AREA OF MINIMAL FLOOD HAZARD,Eastchester-Edenwald-Baychester,29,5,2,30,,12344
"{'type': 'Point', 'coordinates': [-73.95476757235649, 40.63961575625326]}",3,Brooklyn,314,45,42,21,9,Flatbush Avenue and Newkirk Avenue,Brooklyn,2023-09-22T00:00:00.000,-73.954769,40.639624,X,AREA OF MINIMAL FLOOD HAZARD,Flatbush,60,2,11,43,6,13510
"{'type': 'Point', 'coordinates': [-73.74530863764868, 40.66651174334506]}",4,Queens,413,31,29,14,5,North Conduit Avenue and 230 Place,Queens,2021-07-16T00:00:00.000,-73.74531,40.66652,X,AREA OF MINIMAL FLOOD HAZARD,Laurelton,63,3,47,63,5,15313
"{'type': 'Point', 'coordinates': [-73.92443357139777, 40.82344971894401]}",2,Bronx,204,16,84,29,15,Grand Concourse and East 156 Street,Bronx,2023-06-09T00:00:00.000,-73.924435,40.823458,X,AREA OF MINIMAL FLOOD HAZARD,Concourse-Concourse Village,50,5,43,27,,10929
"{'type': 'Point', 'coordinates': [-73.95963357408831, 40.57798576887412]}",3,Brooklyn,313,48,46,23,8,Coney Island Avenue and Brighton Beach Avenue,Brooklyn,2018-03-01T00:00:00.000,-73.959635,40.577994,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Brighton Beach,21,2,15,35,1,13826
"{'type': 'Point', 'coordinates': [-73.77026763352828, 40.594182758954666]}",4,Queens,414,31,23,10,5,Rockaway Freeway with Edgemere Avenue and Beach 38 Street,Queens,2025-05-23T00:00:00.000,-73.770269,40.594191,AE,,Far Rockaway-Bayswater,51,3,47,59,1,20529
"{'type': 'Point', 'coordinates': [-73.97985956485839, 40.629442758995246]}",3,Brooklyn,312,44,48,22,9,18 Avenue and  47 Street,Brooklyn,2024-06-07T00:00:00.000,-73.979861,40.629451,X,AREA OF MINIMAL FLOOD HAZARD,Borough Park,2,2,18,39,,16867
"{'type': 'Point', 'coordinates': [-73.82384861174779, 40.67779174391825]}",4,Queens,410,28,31,15,5,Linden Boulevard and 115 Street,Queens,2021-07-15T00:00:00.000,-73.82385,40.6778,X,AREA OF MINIMAL FLOOD HAZARD,South Ozone Park,62,3,46,64,,24016
"{'type': 'Point', 'coordinates': [-73.79202662072404, 40.71106173605647]}",4,Queens,408,27,29,11,5,Hillside Avenue and 170 Street,Queens,2025-08-13T00:00:00.000,-73.792028,40.71107,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,6,61,,24340
"{'type': 'Point', 'coordinates': [-73.78170962639719, 40.66862874430842]}",4,Queens,412,28,32,10,5,Rockaway Boulevard and 137 Avenue,Queens,2023-01-12T00:00:00.000,-73.781711,40.668637,X,AREA OF MINIMAL FLOOD HAZARD,Springfield Gardens (North)-Rochdale Village,41,3,46,71,4,24669
"{'type': 'Point', 'coordinates': [-73.89617457888141, 40.84665071315679]}",2,Bronx,206,15,86,32,15,East Tremont Avenue and 3 Avenue,Bronx,2024-12-21T00:00:00.000,-73.896176,40.846659,X,AREA OF MINIMAL FLOOD HAZARD,Tremont,35,5,22,31,,
"{'type': 'Point', 'coordinates': [-73.87113058437683, 40.87980170610535]}",2,Bronx,207,11,81,33,15,Webster Avenue and 800' North of Gun Hill Road,Bronx,2019-02-19T00:00:00.000,-73.871132,40.87981,X,AREA OF MINIMAL FLOOD HAZARD,Norwood,24,5,40,34,,11605
"{'type': 'Point', 'coordinates': [-73.98382056422989, 40.62545476016525]}",3,Brooklyn,312,44,48,22,9,18 Avenue and  54 Street,Brooklyn,2020-04-07T00:00:00.000,-73.983822,40.625463,X,AREA OF MINIMAL FLOOD HAZARD,Borough Park,2,2,18,39,,16867
"{'type': 'Point', 'coordinates': [-73.96762556870402, 40.635231757828514]}",3,Brooklyn,314,40,44,21,9,Coney Island Avenue with Ditmas Avenue and 18 Avenue,Brooklyn,2024-10-22T00:00:00.000,-73.967627,40.63524,X,AREA OF MINIMAL FLOOD HAZARD,Flatbush (West)-Ditmas Park-Parkville,60,2,11,43,,13513
"{'type': 'Point', 'coordinates': [-73.86860458722438, 40.852059711703404]}",2,Bronx,211,15,80,33,15,White Plains Road and Bronxdale Avenue,Bronx,2020-12-24T00:00:00.000,-73.868606,40.852068,X,AREA OF MINIMAL FLOOD HAZARD,Bronx Park,28,5,22,32,,11271
"{'type': 'Point', 'coordinates': [-73.9249715698927, 40.82951571775763]}",2,Bronx,204,16,84,29,15,River Avenue and East 162 Street,Bronx,2025-05-10T00:00:00.000,-73.924973,40.829524,X,AREA OF MINIMAL FLOOD HAZARD,Concourse-Concourse Village,50,5,35,27,6,10930
"{'type': 'Point', 'coordinates': [-73.8938375782731, 40.87099670843048]}",2,Bronx,207,14,78,33,13,Jerome Avenue and Morris Avenue,Bronx,2024-12-06T00:00:00.000,-73.893839,40.871005,X,AREA OF MINIMAL FLOOD HAZARD,Bedford Park,24,5,29,34,,11606
"{'type': 'Point', 'coordinates': [-73.99664455953943, 40.62721175982476]}",3,Brooklyn,312,44,48,22,9,New Utrecht Avenue with 14 Avenue and 60 Street,Brooklyn,2025-02-08T00:00:00.000,-73.996646,40.62722,X,AREA OF MINIMAL FLOOD HAZARD,Borough Park,2,2,18,39,,17621
"{'type': 'Point', 'coordinates': [-74.21078249579885, 40.54877678312273]}",5,Staten Island,503,51,62,24,11,Rossville Avenue and Balsam Place,Staten Island,2026-01-12T00:00:00.000,-74.210784,40.548785,X,AREA OF MINIMAL FLOOD HAZARD,Arden Heights-Rossville,15,1,9,77,,10696
"{'type': 'Point', 'coordinates': [-73.92053957106435, 40.84688671408424]}",2,Bronx,205,14,77,31,15,University Avenue and West 174 Street,Bronx,2025-10-16T00:00:00.000,-73.920541,40.846895,X,AREA OF MINIMAL FLOOD HAZARD,University Heights (South)-Morris Heights,6,5,29,29,,10931
"{'type': 'Point', 'coordinates': [-73.87724659011698, 40.752558731567696]}",4,Queens,403,25,34,13,14,35 Avenue and  90 Street,Queens,2024-11-25T00:00:00.000,-73.877248,40.752567,X,AREA OF MINIMAL FLOOD HAZARD,Jackson Heights,65,3,5,73,,14783
